AI&DS Y23 Course Structure,,,,,,,,,,,,
,,,,,,,,,,,,
Academic Year_2023-24::ODD SEM( I Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,ESC,3,,,
,53,AUC,23UC0032,GLOBAL LOGIC BUILDING CONTEST PRACTICUM,0,#N/A,49,,,,,
,54,CRT,CRTCODL1V2,CAMPUS RECRUITMENT: LOGIC BUILDING SKILLS TRAINING ,0,#N/A,365,,,,,
,55,CRT,CRTVQRL1V2,CAMPUS RECRUITMENT: VERBAL APTITUDE TRAINING,0,#N/A,367,,,,,
,Total,,,,55,249,,,,,,
,,,,,,,,,,,,
Academic Year_2025-26::EVEN SEM( III Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,,,,,
,1,PCC,23AD4108,ETHICS FOR ARTIFICIAL INTELLIGENCE,1,,,,,,,
,2,VAC,23CC3080,SALESFORCE CERTIFIED ADMINISTRATOR,0,,,,,,,
,3,HFC,23CS04HF,HIGH PERFORMANCE COMPUTING,4,,,,,,,
,4,PE2,23CSB3202A,NETWORK AND INFRASTRUCTURE SECURITY,5,,,,,,,
,5,PEC,23CSB3304A,DIGITAL FORENSICS  ,7,,,,,,,
,6,SDC,23SDCS05A,CLOUD BASED SECURITY SPECIALITY,4,,,,,,,
,7,AUC,23UC0032,GLOBAL LOGIC BUILDING CONTEST PRACTICUM,,,,,,,,
,8,OEC,OEME0003,OPERATIONS RESEARCH,4,,,,,,,
,9,VAC,23CC3184,WIPRO TALENTNEXT DOTNET FULL STACK,0,,,,,,,
,10,PEC,23CEC3202A,ADVANCED OPERATING SYSTEMS,5,,,,,,,
,11,PEC,23CEC3305A,CLOUD AND SERVERLESS COMPUTING  ,7,,,,,,,
,12,HAS,23FL3058,JAPANESE LANGUAGE,3,,,,,,,
,13,SDC,23SDCS04A,CLOUD BASED SOLUTIONS ARCHITECT,4,,,,,,,
,14,PEC,23ALT3202R,DEEP LEARNING FOR NATURAL LANGUAGE PROCESSING,3,,,,,,,
,15,PEC,23ALT3303R,CONVERSATIONAL AI AND CHATBOT DEVELOPMENT,5,,,,,,,
,16,VAC,23CC3212, WTN DATA SCIENCE WITH PYTHON ,,,,,,,,
,17,HFC,23CS02HF,EMBEDDED SYSTEMS DESIGN,4,,,,,,,
,18,SDC,23SDCS18R,TEXT ANALYTICS,2,,,,,,,
,19,PEC,23CEC3202R,ADVANCED OPERATING SYSTEMS,3,,,,,,,
,20,PEC,23CEC3305R,CLOUD 6 SERVERLESS COMPUTING,5,,,,,,,
,21,SDC,23SDCS04R,CLOUD BASED SOLUTIONS ARCHITECT,2,,,,,,,
,22,PEC,23ACI3202R,EXPLAINABLE AI AND COMMUNICATIONS,3,,,,,,,
,23,PEC,23ACI3303R,FUZZY LOGIC WITH SET THEORY,5,,,,,,,
,24,PCC,23AD3207A,NATURAL LANGUAGE PROCESSING,6,,,,,,,
,25,VAC,23CC3226,WIPRO TALENTNEXT JAVA FULL STACK CERTIFICATION,,,,,,,,
,26,SDC,23SDCS17R,GENERATIVE ADVERSARIAL NETWORKS FOR IMAGES,2,,,,,,,
,27,HAS,23MB0001,BASICS OF MARKETING FOR ENGINEERS,4,,,,,,,
,28,VAC,23CC3140,SALESFORCE CERTIFIED AGENTFORCE SPECIALIST,,,,,,,,
,29,OEC,OEEC0003,DATA SCIENCE : DL AND NN,4,,,,,,,
,30,VAC,23CC3083,SERVICENOW CERTIFIED SYSTEM ADMINISTRATOR,,,,,,,,
,31,PEC,23DEA3202R,DATA EXPLORATION AND PREPARATION,3,,,,,,,
,32,PEC,23DEA3303R,BIG DATA TECHNOLOGIES,5,,,,,,,
,33,SDC,23SDAD11R,AI-DRIVEN DATA ENGINEERING,2,,,,,,,
,34,HAS,23FL3064,KOREAN LANGUAGE,3,,,,,,,
,35,PEC,23ADE3202A,AI AT THE EDGE,5,,,,,,,
,36,PEC,23ADE3303A,EDGE AI ARCHITECTURES AND APPLICATIONS,7,,,,,,,
,37,SDC,23SDCS20A,SMART IOT AND SENSOR NETWORKS,4,,,,,,,
,38,OEC,OEBT0001,IPR AND PATENT LAWS,4,,,,,,,
,39,PEC,23CSB3202R,NETWORK AND INFRASTRUCTURE SECURITY,3,,,,,,,
,40,PEC,23CSB3304R,DIGITAL FORENSICS  ,5,,,,,,,
,41,SDC,23SDCS05R,CLOUD BASED SECURITY SPECIALITY,2,,,,,,,
,42,OEC,OEME0002,MECHATRONICS,4,,,,,,,
